Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
4792,6.17,6853.02,0.02,404.42,2097,12934,15.95,6971.88,24831,123116000
4768,6.33,6954.94,0.02,385.49,2074,13124,18.33,6963.3,25380,123537000
4740,5.86,6358.37,0.02,369.62,2049,12005,17.57,6946.24,28923,123921000
4714,6.28,7004.57,0.05,378.45,2106,13216,17.91,6982.73,31430,124229000
4685,4.58,6469.9,0.05,387.85,2139,9793,107.86,6927.85,35699,124536000
4660,6.77,7943.17,0.01,378.43,2212,14976,794.95,6764.06,39220,124961000
4630,6.34,7121.43,11.94,354.45,2118,13435,26.69,6855.59,43441,125439000
4602,6.54,6855.16,0.04,339.63,1977,12930,414.9,6846.38,38451,125757000
4569,6.42,6643.86,35.85,330.42,1953,12531,552.93,6833.7,35035,126057000
4535,6.22,5938.43,328.25,312.81,1801,11200,482.07,6637.91,31916,126400000
4503,6.41,6082.4,131.94,319.5,1788,11468.8,637.86,6668.33,36039,126631000
4474,6.7,6292.74,41.38,324.61,1770,11863,645.18,6669.61,38536,126843000
4444,6.64,6004.33,510.59,304.68,1706,11320,632.56,6572.22,33851,127149000
4419,6.58,5894.68,23.91,333.54,1688,11111,650.07,6499.61,32301,127445000
4397,5.85,5197.26,22.71,335.17,1665,9740,704.35,6410.36,34831,127718000
4379,6.42,5822.91,48.42,353.68,1701,10912,661.86,6407.68,37697,127761000
4360,6.65,6052.36,12.05,347.97,1706,11342,786.09,6448.41,37224,127773000
4343,6.34,5706.85,22.57,332.83,1688,10695,606.12,6335.46,35464,127854000
4326,6.51,5812.24,18.6,350.47,1673,10893,642.55,6392.33,35342,128001000
4308,6.78,5884.94,40.47,278.23,1627,11028.75,595.72,6169.81,39453,128063000
4294,6.52,5652.16,16.94,239.59,1624,10592,670.15,6082.24,41014,128047000
4282,6.51,5705.52,38.23,261.45,1628,10604,664,6193.48,44674,128070000
4254,6.66,5713.52,25.18,260.73,1576,10500,741.69,6069.11,48169,127833000
1800,1.45,1822.24,31.11,1.74,1880,2732,17.64,1403.24,136,7139647
1800,1.38,1285.31,8.2,1.28,1399,1927,58.1,1330.06,69,7302111
1800,1.29,700.35,,1.11,811,1050,105.35,1261.88,94,7449238
1850,1.14,423.54,,0.76,555,635,200,1240.31,78,7533336
1850,1.2,720.36,,0.05,900,1080,80,1061.23,96,7524447
1900,1.1,733.7,,0.05,1000,1100,,1010.59,103,7404684
1900,1,667,,0,1000,1000,,987.62,96,7196042
1950,1,667,,0,1000,1000,,1005.84,106,6957265
1950,0.7,358.85,,0,774,538,200,1014.27,103,6770396
2000,1.19,1145.24,,4.05,1440,1717,138.5,1082.01,107,6693764
2000,1.13,993.83,26.42,9.5,1317,1490,131.6,1135.13,116,6749847
2030,1.21,1299.98,,5.37,1615,1949,145.4,1244.4,120,6919801
2040,1.26,1360.01,,2.35,1612,2039,71.5,1331.91,126,7169997
2040,1.29,840.42,1,0.83,978,1260,100,1349.47,132,7447853
2300,1.25,1208.6,3.94,0,1450,1812,55,1392.89,137,7714880
2600,1.38,1396.03,,0,1520,2093,80,1407.23,26,7960949
3000,1.32,1210.6,,0.2,1370,1815,80,1563.21,17,8198082
3450,1.37,1667.5,,0.03,1825,2500,105,1615.59,33,8435912
3685,1.44,1782.22,,0.08,1861,2672,38.4,1678.64,40,8691334
